samples,ecosystem,sequence_count_raw,unclassified_sequences,percentage_unclassified,percentage_classified
mgm4440026,human_host-associated,50909,2544,4.99715178062818,95.0028482193718
mgm4440036,saline_water,94915,90769,95.6318811568245,4.36811884317547
mgm4440037,saline_water,188445,173820,92.2391148611001,7.76088513889994
mgm4440038,saline_water,283390,250091,88.2497618123434,11.7502381876566
mgm4440039,saline_water,351205,324228,92.3187312253527,7.68126877464729
mgm4440040,saline_water,358983,349533,97.3675633665104,2.6324366334896
mgm4440041,saline_water,227542,206025,90.5437237960465,9.45627620395355
mgm4440051,human_host-associated,838932,21941,2.61534903901627,97.3846509609837
mgm4440055,animal_host-associated,51498,18376,35.6829391432677,64.3170608567323
mgm4440056,animal_host-associated,60311,24163,40.0640015917494,59.9359984082506
mgm4440059,animal_host-associated,66066,36742,55.6140828868102,44.3859171131898
mgm4440064,animal_host-associated,60111,31666,52.67921012793,47.32078987207
mgm4440065,animal_host-associated,61476,43140,70.1737263322272,29.8262736677728
mgm4440066,animal_host-associated,82442,43160,52.3519565270129,47.6480434729871
mgm4440090,saline_water,111431,99454,89.25164451544,10.74835548456
mgm4440212,saline_water,209073,142019,67.9279486112506,32.0720513887494
mgm4440213,saline_water,134915,92869,68.8351925286291,31.1648074713709
mgm4440275,saline_water,344216,267709,77.7735491668022,22.2264508331978
mgm4440276,saline_water,304020,225986,74.3326096967305,25.6673903032695
mgm4440370,animal_host-associated,35680,33203,93.057735426009,6.94226457399103
mgm4440371,animal_host-associated,50364,43255,85.884758954809,14.115241045191
mgm4440374,animal_host-associated,39340,32255,81.9903406202339,18.0096593797661
mgm4440375,animal_host-associated,39036,36156,92.6221948970181,7.37780510298187
mgm4440376,animal_host-associated,39270,33498,85.3017570664629,14.6982429335371
mgm4440377,animal_host-associated,34433,32155,93.3842534777684,6.61574652223157
mgm4440419,saline_water,35446,23804,67.1556734187214,32.8443265812786
mgm4440420,saline_water,62685,49605,79.1337640583872,20.8662359416128
mgm4440421,saline_water,154167,150890,97.8743829743071,2.12561702569292
mgm4440425,saline_water,120987,103891,85.8695562333143,14.1304437666857
mgm4440426,saline_water,34296,30151,87.9140424539305,12.0859575460695
mgm4440429,saline_water,39553,31073,78.5604126109271,21.4395873890729
mgm4440430,saline_water,78524,60962,77.6348632265295,22.3651367734705
mgm4440433,saline_water,123879,95705,77.2568393351577,22.7431606648423
mgm4440434,saline_water,23261,20278,87.1759597609733,12.8240402390267
mgm4440435,saline_water,38929,33356,85.684194302448,14.315805697552
mgm4440436,saline_water,268534,263931,98.2858781383363,1.7141218616637
mgm4440437,saline_water,268206,230198,85.8288032333356,14.1711967666644
mgm4440438,saline_water,340725,263488,77.3315723824198,22.6684276175802
mgm4440441,human_host-associated,92223,5077,5.50513429404812,94.4948657059519
mgm4440939,human_host-associated,28900,4627,16.0103806228374,83.9896193771626
mgm4440940,human_host-associated,16539,638,3.85754882399178,96.1424511760082
mgm4440941,human_host-associated,36326,7683,21.1501403953091,78.8498596046909
mgm4440942,human_host-associated,36455,6704,18.3897956384584,81.6102043615416
mgm4440943,human_host-associated,30198,4544,15.0473541294125,84.9526458705875
mgm4440944,human_host-associated,31237,3975,12.7252937221884,87.2747062778116
mgm4440945,human_host-associated,9958,805,8.08395260092388,91.9160473990761
mgm4440946,human_host-associated,20226,2300,11.3715020270938,88.6284979729062
mgm4440947,human_host-associated,35177,4447,12.6417829831992,87.3582170168008
mgm4440948,human_host-associated,37296,5262,14.1087516087516,85.8912483912484
mgm4440949,human_host-associated,16164,1762,10.9007671368473,89.0992328631527
mgm4440950,human_host-associated,20532,799,3.89148646015975,96.1085135398402
mgm4440984,sediment,77061,63935,82.9667406340432,17.0332593659568
mgm4441020,sediment,115960,94231,81.2616419454985,18.7383580545015
mgm4441021,sediment,128907,108444,84.1257650864577,15.8742349135423
mgm4441022,sediment,124220,99889,80.4129769763323,19.5870230236677
mgm4441092,wastewater,96563,9702,10.0473266157845,89.9526733842155
mgm4441093,wastewater,127953,12518,9.78327979805085,90.2167202019492
mgm4441102,saline_water,293065,53478,18.2478289799191,81.7521710200809
mgm4441205,plant-associated,523769,196560,37.5279942111885,62.4720057888115
mgm4441363,saline_water,430449,390060,90.6170068928026,9.38299310719736
mgm4441570,saline_water,644551,48076,7.45883568561681,92.5411643143832
mgm4441571,saline_water,644551,48076,7.45883568561681,92.5411643143832
mgm4441573,saline_water,317180,99223,31.2828677722429,68.7171322277571
mgm4441574,saline_water,368835,151660,41.1186573942278,58.8813426057722
mgm4441663,saline_water,293065,53478,18.2478289799191,81.7521710200809
mgm4441695,animal_host-associated,51498,18376,35.6829391432677,64.3170608567323
mgm4441696,animal_host-associated,60311,24163,40.0640015917494,59.9359984082506
mgm4442466,saline_water,347728,177203,50.9602332857866,49.0397667142134
mgm4442467,saline_water,23779,8237,34.6398082341562,65.3601917658438
mgm4442643,saline_water,99624,85828,86.1519312615434,13.8480687384566
mgm4442652,saline_water,191213,166257,86.9485861316961,13.0514138683039
mgm4442653,saline_water,128155,95074,74.186727010261,25.813272989739
mgm4443316,saline_water,152688,145422,95.2412763281987,4.75872367180132
mgm4443776,saline_water,341707,337584,98.7934107290749,1.20658927092509
mgm4443777,saline_water,373730,369003,98.7351831536136,1.26481684638642
mgm4444195,human_host-associated,211594,125885,59.4936529391193,40.5063470608807
mgm4444196,human_host-associated,246034,77716,31.5875041660909,68.4124958339091
mgm4445728,human_host-associated,91225,81403,89.2332145793368,10.7667854206632
mgm4445729,human_host-associated,144670,131653,91.0022810534319,8.99771894656806
mgm4445730,human_host-associated,358287,305830,85.3589440867238,14.6410559132762
mgm4445731,human_host-associated,73211,53512,73.0928412397044,26.9071587602956
mgm4445734,human_host-associated,212356,138233,65.094934920605,34.905065079395
mgm4445735,human_host-associated,604957,513408,84.8668583056316,15.1331416943684
mgm4445736,human_host-associated,145786,122833,84.2556898467617,15.7443101532383
mgm4445737,human_host-associated,108718,85358,78.5132176824445,21.4867823175555
mgm4446075,human_host-associated,180202,160348,88.9823642356911,11.0176357643089
mgm4446120,human_host-associated,126644,109341,86.3372919364518,13.6627080635482
mgm4446121,human_host-associated,121005,71050,58.7165819594232,41.2834180405768
mgm4446122,human_host-associated,79465,49395,62.1594412634493,37.8405587365507
mgm4446124,human_host-associated,73639,57896,78.621382691237,21.378617308763
mgm4446125,human_host-associated,73282,32688,44.6057694931907,55.3942305068093
mgm4446126,human_host-associated,111935,39724,35.4884531201144,64.5115468798857
mgm4446341,sediment,58251,46211,79.3308269385933,20.6691730614067
mgm4446342,sediment,72654,57392,78.9935860379332,21.0064139620668
mgm4446406,saline_water,70353,52108,74.0664932554404,25.9335067445596
mgm4446411,saline_water,47910,39047,81.5007305364225,18.4992694635775
mgm4446412,saline_water,21495,15663,72.8681088625262,27.1318911374738
mgm4446437,saline_water,26859,20277,75.4942477381883,24.5057522618117
mgm4447101,human_host-associated,295072,57279,19.4118723565774,80.5881276434226
mgm4447102,human_host-associated,244881,19126,7.81032419828406,92.1896758017159
mgm4447103,human_host-associated,464594,82960,17.8564510088378,82.1435489911622
mgm4447192,human_host-associated,204218,35730,17.4960091666748,82.5039908333252
mgm4447446,animal_host-associated,62079,12938,20.8411862304483,79.1588137695517
mgm4447447,animal_host-associated,81981,54893,66.9581976311584,33.0418023688416
mgm4447448,animal_host-associated,59515,37474,62.9656389145593,37.0343610854407
mgm4447449,animal_host-associated,74533,50110,67.231964364778,32.768035635222
mgm4447454,animal_host-associated,55151,37123,67.3115628003119,32.6884371996881
mgm4447455,animal_host-associated,73413,45960,62.6047157860325,37.3952842139675
mgm4447456,animal_host-associated,64550,41258,63.9163439194423,36.0836560805577
mgm4447457,animal_host-associated,27581,18638,67.5755048765454,32.4244951234546
mgm4447483,saline_water,167513,94597,56.4714380376448,43.5285619623552
mgm4447551,saline_water,126741,78500,61.9373367734198,38.0626632265802
mgm4447810,plant-associated,1098311,558948,50.8915962782855,49.1084037217145
mgm4447811,plant-associated,1028814,498675,48.4708606220366,51.5291393779634
mgm4447862,saline_water,149734,132567,88.5350020703381,11.4649979296619
mgm4447903,human_host-associated,306740,79231,25.8300189085219,74.1699810914781
