Filename,Unclassified percentage,Unclassified sequences,Classified percentage,Classified sequences
mgm4637855.report,84.74,7214548.0,15.26,1298769.0
mgm4599960.report,83.3,1234446.0,16.7,247440.0
mgm4461347.report,3.89,2670.0,96.11,66042.0
mgm4553191.report,94.04,46924.0,5.96,2972.0
mgm4664555.report,88.37,4749981.0,11.63,624989.0
mgm4549384.report,86.28,60931.0,13.72,9690.0
mgm4664915.report,84.44,9866101.0,15.56,1818468.0
mgm4525840.report,94.15,3604825.0,5.85,224149.0
mgm4714026.report,90.98,7074119.0,9.02,701225.0
mgm4623672.report,88.78,12749912.0,11.22,1611259.0
mgm4552623.report,88.85,100107.0,11.15,12568.0
mgm4745741.report,61.91,99333.0,38.09,61127.0
mgm4706478.report,92.04,1278384.0,7.96,110489.0
mgm4690500.report,73.32,19077958.0,26.68,6940646.0
mgm4453372.report,91.58,36297.0,8.42,3336.0
mgm4698565.report,32.12,64792.0,67.88,136954.0
mgm4549360.report,88.74,5652723.0,11.26,717581.0
mgm4732893.report,77.2,6963143.0,22.8,2056913.0
mgm4535769.report,4.62,596.0,95.38,12310.0
mgm4699448.report,75.55,46957094.0,24.45,15195512.0
mgm4575358.report,79.68,51991.0,20.32,13258.0
mgm4716055.report,17.26,2933509.0,82.74,14058500.0
mgm4629895.report,79.32,2545643.0,20.68,663521.0
mgm4715974.report,81.69,12326392.0,18.31,2762084.0
mgm4545668.report,83.65,788288.0,16.35,154079.0
mgm4587431.report,22.7,3682196.0,77.3,12535600.0
mgm4728739.report,60.27,575136.0,39.73,379197.0
mgm4691111.report,35.95,632328.0,64.05,1126583.0
mgm4540036.report,80.62,2052067.0,19.38,493133.0
mgm4618477.report,46.3,373126.0,53.7,432701.0
mgm4537909.report,53.24,18545072.0,46.76,16290517.0
mgm4674291.report,81.27,3548576.0,18.73,817579.0
mgm4502931.report,88.92,77642882.0,11.08,9672770.0
mgm4446120.report,86.47,109341.0,13.53,17111.0
mgm4535547.report,86.24,604037.0,13.76,96392.0
mgm4717339.report,77.41,1029363.0,22.59,300423.0
mgm4502928.report,88.13,68291105.0,11.87,9194636.0
mgm4533792.report,80.98,51193.0,19.02,12022.0
mgm4730834.report,10.62,1070664.0,89.38,9010786.0
mgm4777330.report,48.89,628797.0,51.11,657373.0
mgm4604824.report,41.03,595552.0,58.97,855891.0
mgm4705014.report,1.88,12599.0,98.12,656975.0
mgm4544305.report,83.91,3164180.0,16.09,606911.0
mgm4718355.report,52.08,3346.0,47.92,3079.0
mgm4667222.report,82.62,8356406.0,17.38,1757880.0
mgm4600400.report,84.95,266736.0,15.05,47262.0
mgm4664870.report,79.79,8970075.0,20.21,2272369.0
mgm4664906.report,86.25,5012390.0,13.75,799304.0
mgm4625296.report,90.31,147208.0,9.69,15797.0
mgm4546660.report,81.97,1243152.0,18.03,273473.0
mgm4501148.report,70.15,136277.0,29.85,57989.0
mgm4556396.report,51.89,2055521.0,48.11,1905857.0
mgm4552772.report,48.89,34662.0,51.11,36240.0
mgm4761419.report,93.17,1128503.0,6.83,82674.0
mgm4713212.report,17.15,53212.0,82.85,257048.0
mgm4717162.report,85.77,12960978.0,14.23,2149482.0
mgm4662526.report,83.96,1450144.0,16.04,277098.0
mgm4547780.report,56.16,121692.0,43.84,94991.0
mgm4533739.report,89.65,111727.0,10.35,12901.0
mgm4714046.report,89.24,14422051.0,10.76,1738290.0
mgm4719955.report,36.21,379644.0,63.79,668760.0
mgm4517901.report,89.75,637678.0,10.25,72827.0
mgm4761341.report,93.9,974202.0,6.1,63301.0
mgm4661587.report,75.29,2491772.0,24.71,817812.0
mgm4633395.report,34.15,265370.0,65.85,511645.0
mgm4600406.report,84.91,1482533.0,15.09,263487.0
mgm4517889.report,92.83,290356.0,7.17,22440.0
mgm4525849.report,94.86,5515828.0,5.14,299010.0
mgm4534218.report,99.03,3081190.0,0.97,30295.0
mgm4558903.report,85.16,9676261.0,14.84,1686178.0
mgm4670116.report,79.47,32020176.0,20.53,8273319.0
mgm4466820.report,62.26,51236.0,37.74,31052.0
mgm4715775.report,54.22,7505101.0,45.78,6336511.0
mgm4625300.report,13.98,121552.0,86.02,747727.0
mgm4549013.report,6.16,72993.0,93.84,1111695.0
mgm4575362.report,81.3,269345.0,18.7,61953.0
mgm4540019.report,88.79,1017189.0,11.21,128386.0
mgm4664566.report,88.75,4589468.0,11.25,581852.0
mgm4533726.report,80.5,25932.0,19.5,6280.0
mgm4624581.report,45.39,3922534.0,54.61,4719624.0
mgm4730496.report,82.17,6021199.0,17.83,1306260.0
mgm4641339.report,22.17,106887.0,77.83,375334.0
mgm4533679.report,83.76,20795.0,16.24,4033.0
mgm4454183.report,65.09,176707.0,34.91,94790.0
mgm4503276.report,3.12,2503.0,96.88,77688.0
mgm4600351.report,75.07,1338301.0,24.93,444554.0
mgm4503286.report,1.53,213.0,98.47,13731.0
mgm4614832.report,76.3,1319537.0,23.7,409896.0
mgm4529850.report,28.75,11207.0,71.25,27769.0
ERR2191546.report,70.31,107522656.0,29.69,45396201.0
mgm4637834.report,83.78,8726896.0,16.22,1689948.0
mgm4533813.report,84.8,21913.0,15.2,3927.0
