Filename,Percentage,Value
mgm4637855.report,84.74,7214548.0
mgm4599960.report,83.3,1234446.0
mgm4461347.report,3.89,2670.0
mgm4553191.report,94.04,46924.0
mgm4664555.report,88.37,4749981.0
mgm4549384.report,86.28,60931.0
mgm4664915.report,84.44,9866101.0
mgm4525840.report,94.15,3604825.0
mgm4714026.report,90.98,7074119.0
mgm4623672.report,88.78,12749912.0
mgm4552623.report,88.85,100107.0
mgm4745741.report,61.91,99333.0
mgm4706478.report,92.04,1278384.0
mgm4690500.report,73.32,19077958.0
mgm4453372.report,91.58,36297.0
mgm4698565.report,32.12,64792.0
mgm4549360.report,88.74,5652723.0
mgm4732893.report,77.2,6963143.0
mgm4535769.report,4.62,596.0
mgm4699448.report,75.55,46957094.0
mgm4575358.report,79.68,51991.0
mgm4716055.report,17.26,2933509.0
mgm4629895.report,79.32,2545643.0
mgm4715974.report,81.69,12326392.0
mgm4545668.report,83.65,788288.0
mgm4587431.report,22.7,3682196.0
mgm4728739.report,60.27,575136.0
mgm4691111.report,35.95,632328.0
mgm4540036.report,80.62,2052067.0
mgm4618477.report,46.3,373126.0
mgm4537909.report,53.24,18545072.0
mgm4674291.report,81.27,3548576.0
mgm4502931.report,88.92,77642882.0
mgm4446120.report,86.47,109341.0
mgm4535547.report,86.24,604037.0
mgm4717339.report,77.41,1029363.0
mgm4502928.report,88.13,68291105.0
mgm4533792.report,80.98,51193.0
mgm4730834.report,10.62,1070664.0
mgm4777330.report,48.89,628797.0
mgm4604824.report,41.03,595552.0
mgm4705014.report,1.88,12599.0
mgm4544305.report,83.91,3164180.0
mgm4718355.report,52.08,3346.0
mgm4667222.report,82.62,8356406.0
mgm4600400.report,84.95,266736.0
mgm4664870.report,79.79,8970075.0
mgm4664906.report,86.25,5012390.0
mgm4625296.report,90.31,147208.0
mgm4546660.report,81.97,1243152.0
mgm4501148.report,70.15,136277.0
mgm4556396.report,51.89,2055521.0
mgm4552772.report,48.89,34662.0
mgm4761419.report,93.17,1128503.0
mgm4713212.report,17.15,53212.0
mgm4717162.report,85.77,12960978.0
mgm4662526.report,83.96,1450144.0
mgm4547780.report,56.16,121692.0
mgm4533739.report,89.65,111727.0
mgm4714046.report,89.24,14422051.0
mgm4719955.report,36.21,379644.0
mgm4517901.report,89.75,637678.0
mgm4761341.report,93.9,974202.0
mgm4661587.report,75.29,2491772.0
mgm4633395.report,34.15,265370.0
mgm4600406.report,84.91,1482533.0
mgm4517889.report,92.83,290356.0
mgm4525849.report,94.86,5515828.0
mgm4534218.report,99.03,3081190.0
mgm4558903.report,85.16,9676261.0
mgm4670116.report,79.47,32020176.0
mgm4466820.report,62.26,51236.0
mgm4715775.report,54.22,7505101.0
mgm4625300.report,13.98,121552.0
mgm4549013.report,6.16,72993.0
mgm4575362.report,81.3,269345.0
mgm4540019.report,88.79,1017189.0
mgm4664566.report,88.75,4589468.0
mgm4533726.report,80.5,25932.0
mgm4624581.report,45.39,3922534.0
mgm4730496.report,82.17,6021199.0
mgm4641339.report,22.17,106887.0
mgm4533679.report,83.76,20795.0
mgm4454183.report,65.09,176707.0
mgm4503276.report,3.12,2503.0
mgm4600351.report,75.07,1338301.0
mgm4503286.report,1.53,213.0
mgm4614832.report,76.3,1319537.0
mgm4529850.report,28.75,11207.0
ERR2191546.report,70.31,107522656.0
mgm4637834.report,83.78,8726896.0
mgm4533813.report,84.8,21913.0
SRR3546451.report,81.99,72297016.0
mgm4551569.report,90.29,256144.0
mgm4728684.report,1.19,2171.0
mgm4520121.report,29.41,26319.0
mgm4491643.report,49.95,22214.0
mgm4519600.report,88.32,6367732.0
mgm4449103.report,80.06,528581.0
mgm4532160.report,68.59,2466772.0
mgm4629885.report,80.98,2405420.0
mgm4717164.report,76.4,13702338.0
mgm4718783.report,10.63,103344.0
mgm4712256.report,84.87,9009564.0
mgm4477902.report,88.95,8380634.0
mgm4717158.report,71.33,9735276.0
mgm4559923.report,96.09,324790.0
mgm4712766.report,7.82,668.0
mgm4730493.report,82.06,6163797.0
