samples,ecosystem,sequence_count_raw,unclassified_sequences,percentage_unclassified,percentage_classified
mgm4440026,human_host-associated,50909,2412,4.73786560333143,95.2621343966686
mgm4440026,human_host-associated,50909,2412,4.73786560333143,95.2621343966686
mgm4440036,saline_water,94915,91616,96.5242585471211,3.47574145287889
mgm4440037,saline_water,188445,172028,91.2881742683542,8.71182573164585
mgm4440038,saline_water,283390,257165,90.7459684533681,9.25403154663185
mgm4440039,saline_water,351205,324992,92.5362679916288,7.46373200837118
mgm4440041,saline_water,227542,197167,86.6508161130692,13.3491838869308
mgm4440051,human_host-associated,838932,20475,2.4406030524524,97.5593969475476
mgm4440055,animal_host-associated,51498,18412,35.7528447706707,64.2471552293293
mgm4440056,animal_host-associated,60311,24311,40.3093962958664,59.6906037041336
mgm4440059,animal_host-associated,66066,36989,55.9879514424969,44.0120485575031
mgm4440064,animal_host-associated,60111,31477,52.3647918018333,47.6352081981667
mgm4440065,animal_host-associated,61476,42066,68.4267031036502,31.5732968963498
mgm4440066,animal_host-associated,82442,43280,52.4975134033624,47.5024865966376
mgm4440090,saline_water,111431,101059,90.6919977385108,9.30800226148916
mgm4440212,saline_water,209073,167946,80.3288803432294,19.6711196567706
mgm4440213,saline_water,134915,107604,79.7568839639773,20.2431160360227
mgm4440275,saline_water,344216,284370,82.6138238780301,17.3861761219699
mgm4440276,saline_water,304020,249139,81.948227090323,18.051772909677
mgm4440370,animal_host-associated,35680,33432,93.6995515695067,6.30044843049328
mgm4440371,animal_host-associated,50364,42965,85.3089508379001,14.6910491620999
mgm4440374,animal_host-associated,39340,32388,82.3284189120488,17.6715810879512
mgm4440375,animal_host-associated,39036,36249,92.8604365201353,7.13956347986475
mgm4440376,animal_host-associated,39270,32957,83.9241151005857,16.0758848994143
mgm4440377,animal_host-associated,34433,32255,93.6746725524932,6.32532744750675
mgm4440419,saline_water,35446,23910,67.4547198555549,32.5452801444451
mgm4440420,saline_water,62685,50416,80.4275344978863,19.5724655021137
mgm4440421,saline_water,154167,151088,98.0028151290484,1.99718487095163
mgm4440425,saline_water,120987,104415,86.3026606164299,13.6973393835701
mgm4440426,saline_water,34296,30257,88.2231163984138,11.7768836015862
mgm4440429,saline_water,39553,31143,78.7373903370162,21.2626096629838
mgm4440430,saline_water,78524,61169,77.8984768987825,22.1015231012175
mgm4440433,saline_water,123879,95972,77.4723722341963,22.5276277658037
mgm4440434,saline_water,23261,20364,87.545677313959,12.454322686041
mgm4440435,saline_water,38929,33583,86.2673071489121,13.7326928510879
mgm4440436,saline_water,268534,264876,98.6377888833444,1.36221111665562
mgm4440437,saline_water,268206,231102,86.1658575870786,13.8341424129214
mgm4440438,saline_water,340725,264333,77.5795729694035,22.4204270305965
