Filename,Unclassified percentage,Unclassified sequences,Classified percentage,Classified sequences
mgm4637855.report,85.69,7294677.0,14.31,1218640.0
mgm4599960.report,85.58,1268172.0,14.42,213714.0
mgm4461347.report,4.14,2844.0,95.86,65868.0
mgm4553191.report,94.46,47134.0,5.54,2762.0
mgm4664555.report,89.18,4793256.0,10.82,581714.0
mgm4549384.report,87.64,61893.0,12.36,8728.0
mgm4664915.report,85.42,9981020.0,14.58,1703549.0
mgm4525840.report,94.54,3620059.0,5.46,208915.0
mgm4714026.report,92.47,7189523.0,7.53,585821.0
mgm4623672.report,89.64,12872907.0,10.36,1488264.0
mgm4552623.report,89.69,101061.0,10.31,11614.0
mgm4745741.report,67.1,107669.0,32.9,52791.0
mgm4706478.report,95.36,1324477.0,4.64,64396.0
mgm4690500.report,74.86,19476771.0,25.14,6541833.0
mgm4453372.report,93.56,37080.0,6.44,2553.0
mgm4698565.report,33.11,66798.0,66.89,134948.0
mgm4549360.report,89.64,5710523.0,10.36,659781.0
mgm4732893.report,78.92,7118411.0,21.08,1901645.0
mgm4535769.report,3.06,395.0,96.94,12511.0
mgm4699448.report,77.29,48040141.0,22.71,14112465.0
mgm4575358.report,81.39,53108.0,18.61,12141.0
mgm4716055.report,17.45,2965847.0,82.55,14026162.0
mgm4629895.report,80.05,2569038.0,19.95,640126.0
mgm4715974.report,83.14,12544281.0,16.86,2544195.0
mgm4545668.report,84.81,799201.0,15.19,143166.0
mgm4587431.report,23.33,3783645.0,76.67,12434151.0
mgm4728739.report,61.12,583243.0,38.88,371090.0
mgm4691111.report,37.52,659887.0,62.48,1099024.0
mgm4540036.report,82.15,2090891.0,17.85,454309.0
mgm4618477.report,48.34,389556.0,51.66,416271.0
mgm4537909.report,54.02,18818635.0,45.98,16016954.0
mgm4674291.report,81.53,3559509.0,18.47,806646.0
mgm4502931.report,89.81,78415476.0,10.19,8900176.0
mgm4446120.report,89.54,113221.0,10.46,13231.0
mgm4535547.report,87.16,610484.0,12.84,89945.0
mgm4717339.report,79.11,1051957.0,20.89,277829.0
mgm4502928.report,89.17,69093620.0,10.83,8392121.0
mgm4533792.report,86.0,54366.0,14.0,8849.0
mgm4730834.report,98.21,9901048.0,1.79,180402.0
mgm4777330.report,49.9,641848.0,50.1,644322.0
mgm4604824.report,42.86,622149.0,57.14,829294.0
mgm4705014.report,95.58,639994.0,4.42,29580.0
mgm4544305.report,85.95,3241149.0,14.05,529942.0
mgm4718355.report,63.24,4063.0,36.76,2362.0
mgm4667222.report,83.56,8451738.0,16.44,1662548.0
mgm4600400.report,85.27,267742.0,14.73,46256.0
mgm4664870.report,80.93,9098991.0,19.07,2143453.0
mgm4664906.report,87.22,5069034.0,12.78,742660.0
mgm4625296.report,90.97,148284.0,9.03,14721.0
mgm4546660.report,83.35,1264165.0,16.65,252460.0
mgm4501148.report,70.21,136390.0,29.79,57876.0
mgm4556396.report,52.86,2094072.0,47.14,1867306.0
mgm4552772.report,52.75,37399.0,47.25,33503.0
mgm4761419.report,94.32,1142394.0,5.68,68783.0
mgm4713212.report,17.54,54435.0,82.46,255825.0
mgm4717162.report,86.78,13113207.0,13.22,1997253.0
mgm4662526.report,86.31,1490856.0,13.69,236386.0
mgm4547780.report,64.16,139023.0,35.84,77660.0
mgm4533739.report,91.52,114059.0,8.48,10569.0
mgm4714046.report,90.62,14643801.0,9.38,1516540.0
mgm4719955.report,36.66,384367.0,63.34,664037.0
mgm4517901.report,89.78,637867.0,10.22,72638.0
mgm4761341.report,94.94,985048.0,5.06,52455.0
mgm4661587.report,77.21,2555249.0,22.79,754335.0
mgm4633395.report,34.82,270584.0,65.18,506431.0
mgm4600406.report,85.24,1488381.0,14.76,257639.0
mgm4517889.report,92.87,290498.0,7.13,22298.0
mgm4525849.report,95.71,5565246.0,4.29,249592.0
mgm4534218.report,99.53,3096806.0,0.47,14679.0
mgm4558903.report,86.45,9822556.0,13.55,1539883.0
mgm4670116.report,80.79,32553003.0,19.21,7740492.0
mgm4466820.report,70.34,57882.0,29.66,24406.0
mgm4715775.report,56.15,7771964.0,43.85,6069648.0
mgm4625300.report,65.64,570634.0,34.36,298645.0
mgm4549013.report,11.24,133113.0,88.76,1051575.0
mgm4575362.report,82.83,274402.0,17.17,56896.0
mgm4540019.report,90.31,1034515.0,9.69,111060.0
mgm4664566.report,89.6,4633438.0,10.4,537882.0
mgm4533726.report,84.1,27090.0,15.9,5122.0
mgm4624581.report,47.45,4100948.0,52.55,4541210.0
mgm4730496.report,83.19,6095676.0,16.81,1231783.0
mgm4641339.report,28.98,139737.0,71.02,342484.0
mgm4533679.report,84.67,21021.0,15.33,3807.0
mgm4454183.report,67.47,183166.0,32.53,88331.0
mgm4503276.report,3.13,2508.0,96.87,77683.0
mgm4600351.report,75.38,1343960.0,24.62,438895.0
mgm4503286.report,1.36,189.0,98.64,13755.0
mgm4614832.report,77.58,1341670.0,22.42,387763.0
mgm4529850.report,29.32,11426.0,70.68,27550.0
ERR2191546.report,76.84,117495822.0,23.16,35423035.0
mgm4637834.report,84.69,8821580.0,15.31,1595264.0
mgm4533813.report,87.03,22489.0,12.97,3351.0
SRR3546451.report,86.05,75874598.0,13.95,12299333.0
mgm4551569.report,91.63,259932.0,8.37,23755.0
mgm4728684.report,1.94,3534.0,98.06,179047.0
mgm4520121.report,32.15,28766.0,67.85,60717.0
mgm4491643.report,49.67,22092.0,50.33,22383.0
mgm4519600.report,89.74,6469793.0,10.26,739739.0
mgm4449103.report,86.31,569857.0,13.69,90413.0
mgm4532160.report,69.55,2501010.0,30.45,1095231.0
mgm4629885.report,81.81,2430053.0,18.19,540207.0
mgm4717164.report,79.27,14216221.0,20.73,3717822.0
mgm4718783.report,10.48,101862.0,89.52,869902.0
mgm4712256.report,86.59,9192170.0,13.41,1423647.0
mgm4477902.report,89.71,8452266.0,10.29,969689.0
mgm4717158.report,73.87,10082161.0,26.13,3566326.0
mgm4559923.report,98.59,333261.0,1.41,4754.0
mgm4712766.report,8.01,684.0,91.99,7860.0
mgm4730493.report,83.57,6277658.0,16.43,1233771.0
mgm4641346.report,13.05,79670.0,86.95,531045.0
mgm4739189.report,66.43,2655883.0,33.57,1341960.0
mgm4625280.report,32.7,708727.0,67.3,1458845.0
mgm4520129.report,13.7,12708.0,86.3,80058.0
mgm4460677.report,80.84,244691.0,19.16,57996.0
mgm4600384.report,86.44,32410.0,13.56,5083.0
mgm4664860.report,87.27,6264800.0,12.73,914109.0
mgm4698175.report,44.43,366009.0,55.57,457722.0
mgm4761431.report,94.77,864954.0,5.23,47750.0
mgm4536598.report,76.54,208954.0,23.46,64038.0
mgm4600319.report,72.49,1146633.0,27.51,435141.0
mgm4661590.report,71.92,2046536.0,28.08,798860.0
mgm4664867.report,84.61,3449854.0,15.39,627567.0
mgm4600299.report,73.24,1159795.0,26.76,423808.0
mgm4466740.report,81.96,93193.0,18.04,20514.0
mgm4563015.report,89.45,23925.0,10.55,2823.0
mgm4779217.report,98.06,755389.0,1.94,14981.0
mgm4525818.report,94.82,3666085.0,5.18,200217.0
mgm4549286.report,87.44,257639.0,12.56,37019.0
mgm4492850.report,88.12,42708.0,11.88,5756.0
mgm4730672.report,35.68,7623053.0,64.32,13744244.0
mgm4767448.report,88.66,28738273.0,11.34,3674084.0
mgm4520111.report,16.4,23705.0,83.6,120880.0
mgm4597413.report,73.46,22961.0,26.54,8294.0
mgm4440946.report,19.39,2886.0,80.61,11995.0
mgm4624879.report,82.41,4243159.0,17.59,905702.0
mgm4740864.report,62.98,77423.0,37.02,45500.0
mgm4529657.report,75.63,12207.0,24.37,3934.0
mgm4728762.report,37.99,5232169.0,62.01,8539786.0
mgm4683669.report,79.59,86190.0,20.41,22104.0
mgm4520366.report,84.29,133800.0,15.71,24929.0
mgm4712760.report,7.05,2135.0,92.95,28163.0
mgm4551531.report,91.77,350266.0,8.23,31413.0
mgm4461349.report,87.19,82073.0,12.81,12059.0
mgm4716060.report,11.87,616655.0,88.13,4577710.0
mgm4532458.report,1.06,40275.0,98.94,3776937.0
mgm4720005.report,83.78,1116283.0,16.22,216164.0
mgm4511116.report,78.99,587797.0,21.01,156383.0
mgm4715476.report,62.16,1126443.0,37.84,685856.0
mgm4712270.report,91.54,13266007.0,8.46,1226507.0
mgm4532944.report,29.14,31935.0,70.86,77646.0
mgm4549387.report,85.58,24521.0,14.42,4133.0
mgm4581710.report,33.87,724946.0,66.13,1415530.0
mgm4679716.report,90.52,11528498.0,9.48,1207400.0
mgm4667235.report,84.29,12614835.0,15.71,2351430.0
mgm4520361.report,83.45,164771.0,16.55,32684.0
mgm4714027.report,92.41,7389464.0,7.59,606984.0
mgm4529655.report,73.19,9157.0,26.81,3355.0
mgm4582115.report,68.38,86059.0,31.62,39800.0
mgm4527652.report,43.37,46490.0,56.63,60700.0
mgm4712271.report,94.34,9967021.0,5.66,598398.0
mgm4491800.report,80.81,5232581.0,19.19,1242735.0
mgm4667022.report,95.29,3124113.0,4.71,154330.0
mgm4715772.report,60.7,9614096.0,39.3,6224455.0
mgm4629279.report,26.65,726299.0,73.35,1998732.0
SRR3546457.report,92.79,86160650.0,7.21,6696215.0
mgm4551552.report,91.52,426505.0,8.48,39528.0
mgm4714035.report,91.66,7681165.0,8.34,698499.0
mgm4533766.report,88.37,28235.0,11.63,3716.0
mgm4624616.report,77.0,6827650.0,23.0,2039581.0
mgm4746046.report,42.54,13044.0,57.46,17617.0
mgm4583650.report,83.96,321660.0,16.04,61454.0
mgm4717163.report,88.33,12078306.0,11.67,1595360.0
mgm4554295.report,86.66,6561874.0,13.34,1010312.0
mgm4600336.report,78.11,1253138.0,21.89,351188.0
mgm4754574.report,74.49,2575741.0,25.51,881993.0
mgm4519616.report,94.44,8599360.0,5.56,505978.0
mgm4637851.report,83.71,7165323.0,16.29,1393997.0
mgm4618728.report,46.79,584104.0,53.21,664255.0
mgm4558910.report,87.45,16117982.0,12.55,2312469.0
mgm4480861.report,84.53,20492049.0,15.47,3751698.0
mgm4535385.report,91.22,354145.0,8.78,34081.0
mgm4716258.report,0.17,1540.0,99.83,909010.0
mgm4699451.report,77.92,68664047.0,22.08,19462358.0
mgm4466188.report,44.35,49052876.0,55.65,61558929.0
mgm4529656.report,81.73,23775.0,18.27,5313.0
mgm4600636.report,1.68,155.0,98.32,9070.0
mgm4667035.report,95.23,990209.0,4.77,49581.0
mgm4761381.report,94.75,999999.0,5.25,55392.0
mgm4715773.report,42.57,5935692.0,57.43,8007159.0
mgm4628911.report,49.21,377910.0,50.79,389972.0
mgm4728764.report,45.76,9834195.0,54.24,11654646.0
mgm4639041.report,84.44,6097614.0,15.56,1123870.0
mgm4519612.report,92.41,8947439.0,7.59,735337.0
mgm4537193.report,59.28,375223.0,40.72,257710.0
mgm4712755.report,27.4,159103.0,72.6,421607.0
mgm4723615.report,95.19,19095372.0,4.81,963996.0
mgm4750435.report,63.53,63088.0,36.47,36213.0
SRR3546450.report,78.05,70521543.0,21.95,19827952.0
mgm4543593.report,0.49,821.0,99.51,168103.0
mgm4767459.report,85.41,17894661.0,14.59,3057158.0
mgm4544297.report,85.97,24910.0,14.03,4065.0
mgm4549393.report,87.73,16918635.0,12.27,2365641.0
mgm4767490.report,89.38,24820642.0,10.62,2949813.0
mgm4560103.report,30.09,873369.0,69.91,2029450.0
mgm4520122.report,25.18,13891.0,74.82,41269.0
mgm4556504.report,86.25,14345.0,13.75,2286.0
mgm4600305.report,72.67,1127968.0,27.33,424309.0
mgm4535858.report,3.52,255.0,96.48,6989.0
mgm4628829.report,42.64,7458626.0,57.36,10031638.0
mgm4549390.report,66.93,17644557.0,33.07,8719368.0
mgm4761325.report,94.11,604541.0,5.89,37837.0
mgm4537119.report,43.02,16881.0,56.98,22356.0
mgm4683739.report,97.14,487237.0,2.86,14368.0
mgm4644204.report,81.95,3206550.0,18.05,706232.0
mgm4761342.report,95.06,1995494.0,4.94,103709.0
mgm4690402.report,89.19,16562797.0,10.81,2006680.0
mgm4526729.report,87.36,964190.0,12.64,139452.0
mgm4532454.report,0.99,38350.0,99.01,3830047.0
mgm4549370.report,73.25,10728736.0,26.75,3917322.0
mgm4531896.report,78.76,578544.0,21.24,156049.0
mgm4680838.report,94.9,69693511.0,5.1,3747232.0
mgm4624590.report,68.24,5824061.0,31.76,2710417.0
mgm4520028.report,94.29,5284913.0,5.71,320310.0
mgm4761363.report,93.57,845413.0,6.43,58139.0
mgm4723616.report,94.35,24498854.0,5.65,1468245.0
mgm4761336.report,94.46,797185.0,5.54,46743.0
mgm4551565.report,91.83,257177.0,8.17,22888.0
mgm4463926.report,62.66,13046.0,37.34,7775.0
mgm4531570.report,84.28,3325496.0,15.72,620343.0
mgm4450126.report,65.33,66420.0,34.67,35242.0
mgm4538739.report,54.27,545225.0,45.73,459494.0
mgm4761329.report,93.75,916426.0,6.25,61073.0
