samples,Percentage,Value
mgm4637855.report,85.69,7294677.0
mgm4599960.report,85.58,1268172.0
mgm4461347.report,4.14,2844.0
mgm4553191.report,94.46,47134.0
mgm4664555.report,89.18,4793256.0
mgm4549384.report,87.64,61893.0
mgm4664915.report,85.42,9981020.0
mgm4525840.report,94.54,3620059.0
mgm4714026.report,92.47,7189523.0
mgm4623672.report,89.64,12872907.0
mgm4552623.report,89.69,101061.0
mgm4745741.report,67.1,107669.0
mgm4706478.report,95.36,1324477.0
mgm4690500.report,74.86,19476771.0
mgm4453372.report,93.56,37080.0
mgm4698565.report,33.11,66798.0
mgm4549360.report,89.64,5710523.0
mgm4732893.report,78.92,7118411.0
mgm4535769.report,3.06,395.0
mgm4699448.report,77.29,48040141.0
mgm4575358.report,81.39,53108.0
mgm4716055.report,17.45,2965847.0
mgm4629895.report,80.05,2569038.0
mgm4715974.report,83.14,12544281.0
mgm4545668.report,84.81,799201.0
mgm4587431.report,23.33,3783645.0
mgm4728739.report,61.12,583243.0
mgm4691111.report,37.52,659887.0
mgm4540036.report,82.15,2090891.0
mgm4618477.report,48.34,389556.0
mgm4537909.report,54.02,18818635.0
mgm4674291.report,81.53,3559509.0
mgm4502931.report,89.81,78415476.0
mgm4446120.report,89.54,113221.0
mgm4535547.report,87.16,610484.0
mgm4717339.report,79.11,1051957.0
mgm4502928.report,89.17,69093620.0
mgm4533792.report,86.0,54366.0
mgm4730834.report,98.21,9901048.0
mgm4777330.report,49.9,641848.0
mgm4604824.report,42.86,622149.0
mgm4705014.report,95.58,639994.0
mgm4544305.report,85.95,3241149.0
mgm4718355.report,63.24,4063.0
mgm4667222.report,83.56,8451738.0
mgm4600400.report,85.27,267742.0
mgm4664870.report,80.93,9098991.0
mgm4664906.report,87.22,5069034.0
mgm4625296.report,90.97,148284.0
mgm4546660.report,83.35,1264165.0
mgm4501148.report,70.21,136390.0
mgm4556396.report,52.86,2094072.0
mgm4552772.report,52.75,37399.0
mgm4761419.report,94.32,1142394.0
mgm4713212.report,17.54,54435.0
mgm4717162.report,86.78,13113207.0
mgm4662526.report,86.31,1490856.0
mgm4547780.report,64.16,139023.0
mgm4533739.report,91.52,114059.0
mgm4714046.report,90.62,14643801.0
mgm4719955.report,36.66,384367.0
mgm4517901.report,89.78,637867.0
mgm4761341.report,94.94,985048.0
